trajectory_uid,video_id,pred_track_id,trajectory_segment_id,points,observed_points,interpolated_points,duration_sec,mean_raw_step_px,mean_clean_step_px,max_clean_step_px
V3_FEEDING:T95:S0,V3_FEEDING,95,0,176,174,2,6.152871059384161,2.6529964247188627,2.4426269144081183,12.716420006072616
V3_FEEDING:T97:S0,V3_FEEDING,97,0,37,37,0,1.2657334750733185,2.4055105904382317,1.5313855914914154,5.875732421875
V3_FEEDING:T9:S0,V3_FEEDING,9,0,20,20,0,0.6680260007331377,4.480124407263126,2.8361719715408946,10.707758155529548
V4_BREEDING:T1:S0,V4_BREEDING,1,0,420,419,1,14.615379050811232,1.5853762966845877,1.351462467453444,19.162428815572685
V4_BREEDING:T1:S1,V4_BREEDING,1,1,552,552,0,19.219746675410477,1.906693944179502,1.6846848480221528,11.963218224000535
V4_BREEDING:T2:S0,V4_BREEDING,2,0,1409,1409,0,49.113254662391924,1.268503770732398,1.0502503738014406,23.01463228338872
V5_NORMAL:T101:S0,V5_NORMAL,101,0,45,45,0,1.5448264420353581,1.5257313804480768,1.1273630443224583,3.0062735734531936
V5_NORMAL:T102:S0,V5_NORMAL,102,0,14,14,0,0.4564259942377191,2.9970256644447826,2.7410714585291585,5.205783649459713
V5_NORMAL:T103:S0,V5_NORMAL,103,0,35,35,0,1.1937295233909566,5.656233225603197,5.288387802088401,17.723312377929688
V5_NORMAL:T106:S0,V5_NORMAL,106,0,122,122,0,4.248272715597224,1.5497029791128218,1.3132600086942448,6.868326632147149
V5_NORMAL:T107:S0,V5_NORMAL,107,0,94,94,0,3.265201343392917,2.436817961495693,2.1333840678653875,10.565768732939267
V5_NORMAL:T10:S0,V5_NORMAL,10,0,14,14,0,0.45642599423771735,2.2489259020340615,0.7760816375829431,1.6382441175511253
V5_NORMAL:T110:S0,V5_NORMAL,110,0,14,14,0,0.4564259942377191,2.5038526013562694,2.160017994402075,4.511351668402692
V5_NORMAL:T112:S0,V5_NORMAL,112,0,29,29,0,0.9830713722043072,1.6502685696197317,0.8843645154173573,3.6152918748956
V5_NORMAL:T115:S0,V5_NORMAL,115,0,136,136,0,4.739808401699378,3.1730373041155637,2.387244567748867,17.66963350683529
V5_NORMAL:T117:S0,V5_NORMAL,117,0,165,165,0,5.757989465768134,1.304096840388661,0.8262968543154477,4.94656501416372
V5_NORMAL:T11:S0,V5_NORMAL,11,0,14,14,0,0.45642599423771735,2.8414331897863554,1.6196125556514949,4.040844871053263
V5_NORMAL:T122:S0,V5_NORMAL,122,0,61,61,0,2.106581511866395,2.198983348009099,1.6408262416060457,10.478030723943053
V5_NORMAL:T12:S0,V5_NORMAL,12,0,17,17,0,0.5617550698310367,1.8629990030252077,1.0990450803426992,3.2620710451068886
V5_NORMAL:T13:S0,V5_NORMAL,13,0,16,16,0,0.5266453779665987,3.697887897596801,3.178937662443487,6.363378463811021
V5_NORMAL:T13:S1,V5_NORMAL,13,1,177,177,0,6.17930576814142,1.8036554790698067,1.5351612712548197,7.513654567538924
